Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.08821571238348869,0.08821571238348869,1.0,0.1621290914652799
SVM,0.08821571238348869,0.08821571238348869,1.0,0.1621290914652799
Naive Bayes,0.10727363515312915,0.08992958343938237,1.0,0.16501907060014012
